candidate_index,trial_index,setter_method_id,getter_method_id,setter_payload_hex,before_retcode,before_payload_hex,setter_retcode,setter_verdict,after_retcode,after_payload_hex,state_changed,latency_ms,error
17,3,12,11,000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.278,
18,1,12,11,00000000b400006400000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.900,
18,2,12,11,00000000b400006400000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.587,
18,3,12,11,00000000b400006400000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.489,
19,1,12,11,0000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.631,
19,2,12,11,0000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.868,
19,3,12,11,0000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.687,
20,1,12,11,00000000b4000064000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.890,
20,2,12,11,00000000b4000064000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.920,
20,3,12,11,00000000b4000064000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.395,
21,1,12,11,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.287,
21,2,12,11,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.326,
21,3,12,11,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.970,
22,1,12,11,000000000000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.820,
22,2,12,11,000000000000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.984,
22,3,12,11,000000000000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.579,
23,1,12,11,0000000000000000000000000000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.982,
23,2,12,11,0000000000000000000000000000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.348,
23,3,12,11,0000000000000000000000000000000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.149,
24,1,12,11,00000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.842,
24,2,12,11,00000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.726,
24,3,12,11,00000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.334,
25,1,12,11,000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.670,
25,2,12,11,000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.316,
25,3,12,11,000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.330,
26,1,10,9,00000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.120,
26,2,10,9,00000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.939,
26,3,10,9,00000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.680,
27,1,12,11,00000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.128,
27,2,12,11,00000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.496,
27,3,12,11,00000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.324,
28,1,10,9,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.633,
28,2,10,9,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.534,
28,3,10,9,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.028,
29,1,10,9,0000000000000000000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.688,
29,2,10,9,0000000000000000000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.639,
29,3,10,9,0000000000000000000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.923,
