source_file,frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,data
data/playground_someip_only.pcapng,"54","4.066699000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"55","4.071965000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"56","4.077487000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000007","0x00001343","0x00000007","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"57","4.082814000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"58","4.088376000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"59","4.093934000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"60","4.099463000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"61","4.105151000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"62","4.110657000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"63","4.648387000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x0000800a","0x00000000","0x00000274","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"64","5.886117000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"65","5.892130000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"66","5.897678000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"67","5.903439000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"68","5.908835000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"69","5.914705000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"70","5.920037000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"71","5.925973000","192.168.40.134","192.168.40.135","31000","57024","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"72","5.931459000","192.168.40.135","192.168.40.134","57024","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
